shippriority,customerclass,category,productline,warehouse,regionlookup,censusdivision,stateorprovince,orderdate,affiliate,discount,unitprice,shipcost,profit,qty,sales,orderyear
Five Day,Corporation,desk,Office Stuff,South West W02,Midwest,West North Central,Missouri,18-05-2013,Cheap Suppliez,0.08,172.99,12,484.462,7,879,2013
Five Day,Corporation,file holder,Paper Stuff,Central W05,Midwest,East North Central,Michigan,01-01-2011,Turbo Schoolz,0.18,74.94,14.19,-42.9904,2,75,2011
Five Day,Corporation,file holder,Paper Stuff,North East W03,Midwest,West North Central,Minnesota,25-04-2009,Supply Comparer,0.03,"1,502.97",25.7,"-1,034.08",1,"1,576.00",2009
Five Day,Corporation,file holder,Paper Stuff,South West W02,Midwest,East North Central,Illinois,20-03-2012,Eco Storez,0.1,420.98,10.06,539.2105,27,"11,117.00",2012
Five Day,Corporation,file holder,Paper Stuff,South West W02,Midwest,West North Central,Iowa,14-07-2011,Yahoo,0.3,108.97,10,"1,178.84",23,"1,812.00",2011
Five Day,Corporation,furniture,Office Stuff,Central W05,Midwest,East North Central,Illinois,27-01-2013,Google,0.27,76.98,26,-692.5464,67,"3,504.00",2013
Five Day,Corporation,furniture,Office Stuff,Central W05,Midwest,East North Central,Michigan,14-04-2012,Cheap Suppliez,0.18,290.98,37.91,"1,254.98",16,"3,884.00",2012
Five Day,Corporation,Ink,Printing Stuff,Central W05,Midwest,West North Central,Missouri,28-04-2009,Yahoo,0.06,15.81,-0.63,-26.5926,17,101,2009
Five Day,Corporation,Ink,Printing Stuff,Central W05,Midwest,West North Central,Missouri,20-07-2012,Bing,0.24,551.98,25.14,"1,296.51",4,"1,975.00",2012
Five Day,Corporation,Ink,Printing Stuff,Central W05,Midwest,West North Central,Missouri,07-07-2014,Yahoo,0.15,454.98,9.06,916.1359,7,"3,355.00",2014
Five Day,Corporation,Ink,Printing Stuff,South West W02,Midwest,East North Central,Indiana,08-03-2012,Google,0.12,187.98,33.09,-434.9044,8,"1,181.00",2012
Five Day,Corporation,inkjet printer,Printing Stuff,North East W03,Midwest,East North Central,Illinois,06-04-2014,Turbo Schoolz,0.02,308.98,61.73,-65.2953,1,383,2014
Five Day,Corporation,inkjet printer,Printing Stuff,North East W03,Midwest,East North Central,Michigan,24-04-2012,Cheap Suppliez,0.3,297.97,24.06,398.9924,9,"2,059.00",2012
Five Day,Corporation,inkjet printer,Printing Stuff,South West W02,Midwest,West North Central,Missouri,23-10-2014,Yahoo,0.15,551.98,23.14,"5,923.74",20,"9,772.00",2014
Five Day,Corporation,label makers,Paper Stuff,Central W05,Midwest,East North Central,Indiana,17-01-2012,Supply Comparer,0.1,164.98,25,-145.0196,11,"1,102.00",2012
Five Day,Corporation,label makers,Paper Stuff,Central W05,Midwest,West North Central,Kansas,27-09-2012,Supply Comparer,0.24,301.98,66.55,978.38,21,"5,332.00",2012
Five Day,Corporation,label makers,Paper Stuff,South West W02,Midwest,East North Central,Illinois,23-04-2012,Consumer Choice,0.12,226.75,64.64,-517.2331,2,516,2012
Five Day,Corporation,label makers,Paper Stuff,South West W02,Midwest,East North Central,Indiana,12-04-2008,Print Manic,0,87.98,23.74,37.4738,6,503,2008
Five Day,Corporation,laser printer,Printing Stuff,Central W05,Midwest,East North Central,Illinois,11-02-2008,Bing,0,"2,591.14",27.7,"-5,349.49",1,"3,193.00",2008
Five Day,Corporation,laser printer,Printing Stuff,Central W05,Midwest,East North Central,Indiana,18-01-2010,Cheap Suppliez,0,474.14,11.7,456.3741,5,"2,414.00",2010
Five Day,Corporation,laser printer,Printing Stuff,Central W05,Midwest,West North Central,Minnesota,06-06-2010,Consumer Choice,0,335.14,22.53,"8,460.30",43,"15,193.00",2010
Five Day,Corporation,laser printer,Printing Stuff,Central W05,Midwest,West North Central,Minnesota,09-02-2011,Consumer Choice,0.1,160.89,55.2,"-1,285.03",12,"1,675",2011
Five Day,Corporation,laser printer,Printing Stuff,North East W03,Midwest,West North Central,Missouri,20-05-2011,Supply Comparer,0.24,239.98,18.76,-224.3874,1,214,2011
Five Day,Corporation,laser printer,Printing Stuff,South West W02,Midwest,East North Central,Michigan,02-04-2011,Print Manic,0.08,106.81,55,-505.7774,13,960,2011
Five Day,Corporation,markers,Writing Stuff,South West W02,Midwest,West North Central,Kansas,06-03-2008,Cheap Suppliez,0.06,99.99,37,-228.6405,21,"2,045.00",2008
Five Day,Corporation,office mat,Office Stuff,Central W05,Midwest,East North Central,Illinois,15-03-2011,Turbo Schoolz,0.12,147.49,47.94,-204.0234,11,"1,292.00",2011
Five Day,Corporation,office mat,Office Stuff,Central W05,Midwest,East North Central,Michigan,20-11-2014,Turbo Schoolz,0,133.99,68.2,-394.3422,19,"2,717.00",2014
Five Day,Corporation,office mat,Office Stuff,Central W05,Midwest,East North Central,Ohio,07-11-2014,Bing,0.03,135.49,46.94,-297.8415,10,"1,087.00",2014
Five Day,Corporation,office mat,Office Stuff,South East W04,Midwest,East North Central,Ohio,08-08-2011,Supply Comparer,0.14,332.98,31.67,-651.8784,19,"4,535.00",2011
Five Day,Corporation,office mat,Office Stuff,South West W02,Midwest,East North Central,Illinois,03-09-2009,Google,0,155.98,51.48,-139.3227,18,"2,677.00",2009
Five Day,Corporation,office mat,Office Stuff,South West W02,Midwest,West North Central,Iowa,25-05-2011,Official Warz,0.02,112.98,27,158.7208,25,"2,988.00",2011
Five Day,Corporation,office mat,Office Stuff,South West W02,Midwest,West North Central,Missouri,18-06-2013,Print Manic,0.15,97.98,24.74,-80.0308,3,231,2013
Five Day,Corporation,organizer,Office Stuff,Central W05,Midwest,East North Central,Illinois,04-02-2010,Yahoo,0.02,104.8,57,-348.8212,8,838,2010
Five Day,Corporation,organizer,Office Stuff,Central W05,Midwest,East North Central,Illinois,22-11-2010,Supply Comparer,0.08,86.98,11.19,11.5971,7,329,2010
Five Day,Corporation,organizer,Office Stuff,Central W05,Midwest,East North Central,Illinois,16-02-2011,Official Warz,0.08,76.98,9.19,142.3385,8,374,2011
Five Day,Corporation,organizer,Office Stuff,Central W05,Midwest,East North Central,Indiana,13-04-2009,Supply Comparer,0.14,118.99,6.99,-330.75,1,63,2009
Five Day,Corporation,organizer,Office Stuff,Central W05,Midwest,East North Central,Michigan,18-08-2013,Google,0.06,434.97,45.26,"5,527.58",22,"9,012.00",2013
Five Day,Corporation,organizer,Office Stuff,Central W05,Midwest,East North Central,Ohio,14-10-2014,Google,0.08,320.18,51.12,-679.991,6,"1,913.00",2014
Five Day,Corporation,organizer,Office Stuff,North West W01,Midwest,East North Central,Ohio,26-08-2013,Supply Comparer,0.3,89.14,31.61,-539.2424,12,667,2013
Five Day,Corporation,organizer,Office Stuff,South West W02,Midwest,West North Central,Minnesota,24-01-2013,Google,0.1,254.75,65.64,-274.5171,3,626,2013
Five Day,Corporation,paper,Paper Stuff,Central W05,Midwest,East North Central,Michigan,07-06-2012,Google,0.15,359.21,82.84,283.1,24,"7,743.00",2012
Five Day,Corporation,paper,Paper Stuff,North East W03,Midwest,East North Central,Illinois,15-06-2010,Bing,0.06,323.98,46,-79.3344,10,"2,886.00",2010
Five Day,Corporation,paper,Paper Stuff,North East W03,Midwest,East North Central,Indiana,03-04-2012,Bing,0.1,153.99,68.2,"-1,021.24",8,1056,2012
Five Day,Corporation,pencils,Writing Stuff,Central W05,Midwest,East North Central,Illinois,04-03-2008,Bing,0.21,141.95,69.35,"-1,713.03",14,"1,291.00",2008
Five Day,Corporation,pencils,Writing Stuff,Central W05,Midwest,East North Central,Ohio,24-04-2009,Print Manic,0.21,280.98,40.32,"1,822.04",12,"3,100.00",2009
Five Day,Corporation,pencils,Writing Stuff,Central W05,Midwest,West North Central,Minnesota,25-09-2011,Consumer Choice,0,167.98,28,992.14,11,"2,151.00",2011
Five Day,Corporation,pencils,Writing Stuff,Central W05,Midwest,West North Central,Missouri,20-02-2009,Bing,0.14,117.94,53.81,"-1,417.95",22,"1,655.00",2009
Five Day,Corporation,pencils,Writing Stuff,South West W02,Midwest,East North Central,Illinois,20-07-2010,Bing,0.2,328.73,45.8,137.124,3,1043,2010
Five Day,Corporation,pencils,Writing Stuff,South West W02,Midwest,East North Central,Indiana,21-04-2012,Google,0.12,326.98,59.73,"1,223.60",10,"3,020.00",2012
Five Day,Corporation,pencils,Writing Stuff,South West W02,Midwest,East North Central,Michigan,23-03-2010,Supply Comparer,0.02,178.98,33.89,-14.2857,6,"1,246.00",2010
Five Day,Corporation,pencils,Writing Stuff,South West W02,Midwest,West North Central,Nebraska,22-11-2011,Official Warz,0.02,249.6,60.2,581.2584,12,"2,953.00",2011
Five Day,Corporation,pens,Writing Stuff,Central W05,Midwest,East North Central,Illinois,03-09-2010,Official Warz,0.09,415.98,97,"1,640.71",27,"10,759.00",2010
Five Day,Corporation,pens,Writing Stuff,Central W05,Midwest,East North Central,Ohio,21-01-2008,Official Warz,0.18,179.98,34.25,26.8716,1,162,2008
Five Day,Corporation,pens,Writing Stuff,Central W05,Midwest,West North Central,Missouri,23-06-2012,Bing,0.21,298.98,53,-438.748,12,"2,925.00",2012
Five Day,Corporation,pens,Writing Stuff,North East W03,Midwest,West North Central,Minnesota,09-06-2011,Yahoo,0.12,40.98,48.03,-904.5735,5,131,2011
Five Day,Corporation,pens,Writing Stuff,South West W02,Midwest,East North Central,Ohio,05-09-2009,Bing,0.12,163.99,52.14,-99.4653,7,784,2009
Five Day,Corporation,photo copier,Copying Stuff,Central W05,Midwest,East North Central,Ohio,18-11-2014,Bing,0.3,565.98,42.7,"-1,225.03",6,"3,682.00",2014
Five Day,Corporation,photo copier,Copying Stuff,Central W05,Midwest,West North Central,Minnesota,25-02-2009,Bing,0.18,390.45,58,"-2,651.45",14,"4,037.00",2009
Five Day,Corporation,photo copier,Copying Stuff,Central W05,Midwest,West North Central,Minnesota,06-04-2010,Consumer Choice,0,393.21,80.84,-228.1152,2,920,2010
Five Day,Corporation,photo copier,Copying Stuff,North East W03,Midwest,West North Central,Minnesota,08-06-2009,Yahoo,0.12,155.99,67.2,"-1,828.13",25,"3,020.00",2009
Five Day,Corporation,photo copier,Copying Stuff,South West W02,Midwest,West North Central,Nebraska,25-03-2008,Supply Comparer,0.04,250.98,58.2,-256.3474,1,310,2008
Five Day,Corporation,photo paper,Copying Stuff,South West W02,Midwest,East North Central,Indiana,28-10-2011,Yahoo,0.12,100.98,12.19,189.9525,21,905,2011
Five Day,Corporation,scissors,Paper Stuff,Central W05,Midwest,East North Central,Illinois,03-02-2008,Google,0.24,189.98,61.27,197.3367,37,"5,264.00",2008
Five Day,Corporation,scissors,Paper Stuff,Central W05,Midwest,East North Central,Indiana,27-03-2012,Google,0.02,135.95,69.35,"-1,086.46",12,1080,2012
Five Day,Corporation,scissors,Paper Stuff,Central W05,Midwest,East North Central,Wisconsin,18-12-2014,Supply Comparer,0.04,138.98,28,178.8794,17,"2,002.00",2014
Five Day,Corporation,scissors,Paper Stuff,Central W05,Midwest,West North Central,Iowa,19-06-2010,Yahoo,0,100.98,25,201.7134,13,"1,155.00",2010
Five Day,Corporation,scissors,Paper Stuff,Central W05,Midwest,West North Central,Nebraska,21-10-2012,Bing,0,99.98,26,223.5123,25,"2,299.00",2012
Five Day,Corporation,scissors,Paper Stuff,North East W03,Midwest,East North Central,Illinois,23-04-2009,Google,0.21,86.99,1,-165.312,8,372,2009
Five Day,Corporation,scissors,Paper Stuff,South East W04,Midwest,East North Central,Indiana,10-12-2010,Yahoo,0.27,317.98,52,-622.937,4,"1,229.00",2010
Five Day,Corporation,scissors,Paper Stuff,South West W02,Midwest,East North Central,Illinois,07-06-2010,Turbo Schoolz,0,308.05,85.01,"1,896.42",20,"6,282.00",2010
Five Day,Corporation,scissors,Paper Stuff,South West W02,Midwest,East North Central,Indiana,18-06-2011,Supply Comparer,0.12,115.29,56,77.6139,14,"1,195.00",2011
Five Day,Corporation,sharpner,Writing Stuff,Central W05,Midwest,West North Central,Missouri,05-07-2013,Supply Comparer,0.02,129.98,11.66,"1,377.95",27,"2,816.00",2013
Five Day,Corporation,sharpner,Writing Stuff,Central W05,Midwest,West North Central,South Dakota,17-10-2012,Bing,0,534.97,64.3,"5,504.54",19,"9,361.00",2012
Five Day,Corporation,sharpner,Writing Stuff,North East W03,Midwest,West North Central,Minnesota,14-12-2012,Google,0,158.98,52.74,-293.7408,10,"1,472.00",2012
Five Day,Corporation,sharpner,Writing Stuff,South West W02,Midwest,East North Central,Illinois,21-03-2010,Google,0.06,89.97,26.06,410.3525,63,"4,898.00",2010
Five Day,Corporation,shredders,Paper Stuff,Central W05,Midwest,East North Central,Illinois,25-01-2008,Turbo Schoolz,0.04,275.98,39.32,617.2166,5,"1,369.00",2008
Five Day,Corporation,shredders,Paper Stuff,South West W02,Midwest,West North Central,Minnesota,12-10-2008,Google,0.2,400.98,96,-602.6493,9,"3,654.00",2008
Five Day,Corporation,spirals,Copying Stuff,Central W05,Midwest,East North Central,Illinois,12-03-2009,Google,0.06,219.99,4.99,"1,944.77",19,"3,026.00",2009
Five Day,Corporation,spirals,Copying Stuff,Central W05,Midwest,East North Central,Illinois,01-12-2011,Supply Comparer,0.27,404.98,55.92,"1,227.85",8,"2,899.00",2011
Five Day,Corporation,spirals,Copying Stuff,Central W05,Midwest,East North Central,Illinois,04-05-2014,Cheap Suppliez,0.15,27.89,2.93,-140.2135,13,63,2014
Five Day,Corporation,spirals,Copying Stuff,Central W05,Midwest,East North Central,Michigan,18-04-2009,Turbo Schoolz,0.12,13.08,-0.51,-3.4968,8,17,2009
Five Day,Corporation,spirals,Copying Stuff,Central W05,Midwest,East North Central,Michigan,21-10-2013,Official Warz,0.3,90.29,57,"-1,155.39",15,"1,234.00",2013
Five Day,Corporation,spirals,Copying Stuff,North East W03,Midwest,East North Central,Illinois,22-03-2009,Google,0.04,326.98,76.98,-851.004,15,"3,326.00",2009
Five Day,Corporation,spirals,Copying Stuff,South West W02,Midwest,West North Central,Minnesota,21-11-2011,Yahoo,0.06,55.98,3.68,107.04,14,281,2011
Five Day,Corporation,staplers,Paper Stuff,Central W05,Midwest,East North Central,Indiana,05-03-2009,Turbo Schoolz,0,574.99,45,-795.1398,4,"2,449.00",2009
Five Day,Corporation,staplers,Paper Stuff,Central W05,Midwest,West North Central,Minnesota,24-11-2009,Yahoo,0.16,301.81,18.19,-114.9694,1,294,2009
Five Day,Corporation,staplers,Paper Stuff,North West W01,Midwest,West North Central,Iowa,14-06-2010,Official Warz,0.21,121.98,52.38,-425.5614,2,245,2010
Five Day,Corporation,staplers,Paper Stuff,South West W02,Midwest,East North Central,Michigan,22-06-2014,Yahoo,0.06,56.65,0.77,206.3958,19,325,2014
Five Day,Corporation,staplers,Paper Stuff,South West W02,Midwest,East North Central,Wisconsin,10-05-2014,Consumer Choice,0.15,"2,603.14",27.7,"-3,613.66",2,"5,669.00",2014
Five Day,Corporation,staplers,Paper Stuff,South West W02,Midwest,West North Central,Kansas,03-05-2012,Supply Comparer,0.12,472.21,106.2,648.4035,19,"7,961.00",2012
Five Day,Corporation,tape,Paper Stuff,Central W05,Midwest,West North Central,Iowa,27-04-2010,Google,0.14,399.13,81.63,-129.238,1,485,2010
Five Day,Corporation,tape,Paper Stuff,South East W04,Midwest,West North Central,Iowa,09-04-2009,Google,0.16,269.98,40.32,-159.5636,1,284,2009
Five Day,Corporation,tape,Paper Stuff,South West W02,Midwest,East North Central,Illinois,13-02-2014,Google,0,127.99,68.2,"-1,125.73",79,"10,383.00",2014
Five Day,Corporation,tape,Paper Stuff,South West W02,Midwest,West North Central,Nebraska,25-08-2012,Google,0.12,21.68,0.73,47.8124,5,87,2012
Five Day,Corporation,toner,Printing Stuff,Central W05,Midwest,East North Central,Illinois,01-05-2008,Consumer Choice,0.21,187.98,33.09,-374.262,20,"2,475.00",2008
Five Day,Corporation,toner,Printing Stuff,Central W05,Midwest,West North Central,Minnesota,19-09-2011,Eco Storez,0.08,101.89,84.3,-423.7142,7,456,2011
Five Day,Corporation,toner,Printing Stuff,Central W05,Midwest,West North Central,Minnesota,09-10-2014,Cheap Suppliez,0.09,398.98,97,-114.3468,6,"2,564.00",2014
Five Day,Corporation,toner,Printing Stuff,Central W05,Midwest,West North Central,Minnesota,13-11-2014,Cheap Suppliez,0.04,518.98,25.14,"3,773.28",12,"7,091.00",2014
Five Day,Corporation,toner,Printing Stuff,South West W02,Midwest,West North Central,Missouri,17-06-2014,Bing,0.08,455.98,37.52,"2,444.63",28,"11,065.00",2014
Five Day,Corporation,toner,Printing Stuff,South West W02,Midwest,West North Central,Nebraska,24-04-2012,Bing,0.09,209.98,27,"1,196.82",11,"1,956.00",2012
Five Day,Corporation,toner,Printing Stuff,South West W02,Midwest,West North Central,South Dakota,09-03-2013,Google,0.03,400.21,35.19,"1,433.36",12,"4,043.00",2013
Five Day,Family,book shelf,Office Stuff,Central W05,Midwest,West North Central,Minnesota,24-07-2012,Cheap Suppliez,0.15,"1,550.97",26.7,"-2,510.09",1,"1,617.00",2012
Five Day,Family,book shelf,Office Stuff,North East W03,Midwest,East North Central,Ohio,07-09-2011,Yahoo,0.08,140.99,52.14,27.2861,16,"2,107.00",2011
Five Day,Family,desk,Office Stuff,South West W02,Midwest,East North Central,Ohio,12-04-2012,Google,0.12,393.98,55.92,"1,544.66",15,"6,052.00",2012
Five Day,Family,furniture,Office Stuff,Central W05,Midwest,East North Central,Michigan,17-04-2010,Google,0.18,384.21,80.84,324.4212,102,"34,786.00",2010
Five Day,Family,furniture,Office Stuff,Central W05,Midwest,East North Central,Ohio,16-05-2009,Supply Comparer,0.24,552.98,43.7,"-1,264.97",5,"3,051.00",2009
Five Day,Family,furniture,Office Stuff,Central W05,Midwest,West North Central,Iowa,17-12-2012,Supply Comparer,0.12,194.98,26,-248.4,6,783,2012
Five Day,Family,furniture,Office Stuff,South West W02,Midwest,East North Central,Michigan,13-03-2014,Print Manic,0.16,209.98,28,802.224,15,"2,341.00",2014
Five Day,Family,Ink,Printing Stuff,Central W05,Midwest,East North Central,Michigan,05-04-2012,Yahoo,0.02,133.98,55.38,-968.77,13,"1,304.00",2012
Five Day,Family,Ink,Printing Stuff,South West W02,Midwest,East North Central,Illinois,10-01-2010,Consumer Choice,0.27,550.98,24,"4,442.67",15,"7,235.00",2010
Five Day,Family,inkjet printer,Printing Stuff,Central W05,Midwest,East North Central,Illinois,13-06-2010,Consumer Choice,0.12,344.18,49.12,-40.3229,12,"3,398.00",2010
Five Day,Family,inkjet printer,Printing Stuff,Central W05,Midwest,East North Central,Michigan,11-03-2012,Supply Comparer,0.16,97.99,39,-280.1124,4,437,2012
Five Day,Family,inkjet printer,Printing Stuff,North East W03,Midwest,East North Central,Michigan,04-08-2012,Bing,0.1,334.73,43.8,522.861,6,"2,146.00",2012
Five Day,Family,label makers,Paper Stuff,Central W05,Midwest,East North Central,Indiana,25-08-2011,Google,0,33.76,43.51,-487.4316,20,701,2011
Five Day,Family,label makers,Paper Stuff,Central W05,Midwest,West North Central,Missouri,28-06-2013,Google,0.06,197.98,24.2,535.5714,5,1050,2013
Five Day,Family,label makers,Paper Stuff,South East W04,Midwest,East North Central,Ohio,11-03-2009,Consumer Choice,0.06,334.98,56.95,-139.1465,1,422,2009
Five Day,Family,label makers,Paper Stuff,South West W02,Midwest,East North Central,Indiana,09-06-2014,Turbo Schoolz,0.27,127.97,26,411.3945,14,"1,316.00",2014
Five Day,Family,laser printer,Printing Stuff,South West W02,Midwest,East North Central,Indiana,19-07-2013,Google,0.14,142.89,38,-203.8358,4,441,2013
Five Day,Family,markers,Writing Stuff,South West W02,Midwest,East North Central,Illinois,27-05-2010,Google,0.12,130.99,65.2,"-1,598.25",10,"1,229.00",2010
Five Day,Family,office mat,Office Stuff,Central W05,Midwest,West North Central,Minnesota,12-11-2011,Google,0.3,146.99,65.2,-809.703,19,"2,250.00",2011
Five Day,Family,organizer,Office Stuff,Central W05,Midwest,East North Central,Indiana,04-03-2013,Bing,0.06,157.99,53.14,4.9302,15,"1,709.00",2013
Five Day,Family,organizer,Office Stuff,Central W05,Midwest,East North Central,Michigan,27-02-2008,Bing,0.15,77.98,42.74,-825.1305,8,601,2008
Five Day,Family,organizer,Office Stuff,Central W05,Midwest,East North Central,Ohio,22-10-2013,Official Warz,0.09,189.98,12.01,-174.5516,3,524,2013
Five Day,Family,organizer,Office Stuff,North East W03,Midwest,East North Central,Illinois,10-08-2009,Official Warz,0.09,92.89,29.41,-343.2975,90,"5,562.00",2009
Five Day,Family,organizer,Office Stuff,North East W03,Midwest,East North Central,Illinois,11-02-2010,Eco Storez,0.27,285.97,24.06,"2,606.94",17,"4,472.00",2010
Five Day,Family,organizer,Office Stuff,North East W03,Midwest,East North Central,Ohio,10-08-2009,Bing,0.08,330.98,33.67,-611.136,4,985,2009
Five Day,Family,organizer,Office Stuff,North East W03,Midwest,East North Central,Ohio,19-12-2013,Google,0.3,54.98,49.03,"-1,027.97",22,556,2013
Five Day,Family,paper,Paper Stuff,Central W05,Midwest,East North Central,Wisconsin,22-10-2008,Google,0.09,128.98,42,-176.9978,1,134,2008
Five Day,Family,paper,Paper Stuff,South East W04,Midwest,East North Central,Indiana,14-02-2014,Consumer Choice,0.2,140.98,23.22,-135.7642,1,126,2014
Five Day,Family,pencils,Writing Stuff,Central W05,Midwest,East North Central,Michigan,07-11-2011,Turbo Schoolz,0.03,182.98,17.99,"1,521.96",15,"2,479.00",2011
Five Day,Family,pencils,Writing Stuff,North East W03,Midwest,East North Central,Illinois,26-06-2010,Google,0.21,235.16,65.02,434.9195,28,"6,177.00",2010
Five Day,Family,pencils,Writing Stuff,North West W01,Midwest,West North Central,Minnesota,27-04-2009,Bing,0.08,57.24,-0.01,-68.1135,1,40,2009
Five Day,Family,pencils,Writing Stuff,South West W02,Midwest,West North Central,Minnesota,16-12-2011,Cheap Suppliez,0.15,179.31,58,-195.2223,1,188,2011
Five Day,Family,pens,Writing Stuff,Central W05,Midwest,West North Central,Kansas,03-12-2011,Print Manic,0.21,149.98,32.09,-193.374,22,"2,912.00",2011
Five Day,Family,pens,Writing Stuff,South West W02,Midwest,East North Central,Wisconsin,27-04-2010,Official Warz,0.12,230.6,59.2,44.8408,6,"1,371.00",2010
Five Day,Family,photo copier,Copying Stuff,Central W05,Midwest,East North Central,Indiana,21-05-2013,Print Manic,0.21,466.4,71.23,-529.322,14,"5,353.00",2013
Five Day,Family,photo copier,Copying Stuff,Central W05,Midwest,West North Central,Minnesota,06-04-2014,Print Manic,0.3,245.98,62.66,-357.651,1,246,2014
Five Day,Family,scissors,Paper Stuff,South West W02,Midwest,East North Central,Ohio,07-10-2014,Bing,0.06,270.11,59.74,-582.7648,9,"2,545.00",2014
Five Day,Family,sharpner,Writing Stuff,Central W05,Midwest,West North Central,Kansas,12-11-2011,Cheap Suppliez,0.18,334.73,44.8,"1,924.26",22,"6,705.00",2011
Five Day,Family,sharpner,Writing Stuff,South West W02,Midwest,West North Central,Minnesota,25-07-2010,Turbo Schoolz,0.2,320.98,31.67,512.563,7,"2,037.00",2010
Five Day,Family,shredders,Paper Stuff,North East W03,Midwest,East North Central,Illinois,17-04-2014,Google,0.09,47.98,0.37,245.0392,20,498,2014
Five Day,Family,shredders,Paper Stuff,South East W04,Midwest,East North Central,Illinois,10-11-2010,Cheap Suppliez,0.24,171.98,27,-200.6244,16,"1,805.00",2010
Five Day,Family,shredders,Paper Stuff,South West W02,Midwest,East North Central,Ohio,05-08-2011,Bing,0.1,538.14,9.7,"1,549.44",5,"2,732.00",2011
Five Day,Family,shredders,Paper Stuff,South West W02,Midwest,East North Central,Ohio,12-01-2014,Consumer Choice,0.15,316.85,57.76,-335.2464,16,"4,549.00",2014
Five Day,Family,spirals,Copying Stuff,Central W05,Midwest,West North Central,Minnesota,22-02-2012,Consumer Choice,0.12,320.18,151.12,-80.96,22,"6,403.00",2012
Five Day,Family,staplers,Paper Stuff,Central W05,Midwest,East North Central,Indiana,07-04-2013,Bing,0.2,228.98,53.24,-78.012,11,"1,810.00",2013
Five Day,Family,staplers,Paper Stuff,South West W02,Midwest,East North Central,Ohio,09-05-2012,Cheap Suppliez,0.21,432.21,106.2,-481.8346,11,"4,395.00",2012
Five Day,Family,toner,Printing Stuff,Central W05,Midwest,East North Central,Illinois,25-09-2013,Bing,0.27,67.53,-2.5,22.9599,4,49,2013
Five Day,Family,toner,Printing Stuff,Central W05,Midwest,West North Central,Minnesota,08-10-2012,Eco Storez,0.09,167.98,26,593.3679,18,"2,008.00",2012
Five Day,Hospital,book shelf,Office Stuff,Central W05,Midwest,East North Central,Illinois,21-05-2008,Yahoo,0.06,175.99,68.2,"-1,501.20",20,"2,367.00",2008
Five Day,Hospital,book shelf,Office Stuff,North East W03,Midwest,West North Central,Minnesota,15-06-2011,Supply Comparer,0.21,224.98,20.76,149.706,6,"1,303.00",2011
Five Day,Hospital,book shelf,Office Stuff,North West W01,Midwest,East North Central,Indiana,16-02-2013,Print Manic,0.12,304.97,25.06,-156.9568,2,651,2013
Five Day,Hospital,book shelf,Office Stuff,South West W02,Midwest,East North Central,Michigan,05-12-2009,Supply Comparer,0.06,106.97,12,"1,392.47",22,"2,502.00",2009
Five Day,Hospital,chair,Office Stuff,Central W05,Midwest,East North Central,Ohio,23-07-2014,Print Manic,0.15,513.98,24,"4,677.75",21,"9,937.00",2014
Five Day,Hospital,chair,Office Stuff,South East W04,Midwest,East North Central,Illinois,22-08-2011,Print Manic,0.18,263.71,64.67,-192.451,3,861,2011
Five Day,Hospital,chair,Office Stuff,South West W02,Midwest,East North Central,Ohio,17-02-2013,Yahoo,0.09,338.64,27.2,399.6675,7,"2,613.00",2013
